title,store,sells,price,Unnamed: 0
vivo+iqoo,vivo天诚专卖店,2587.0,1398.0,385.0
oppo+r17,能良数码官方旗舰店,2574.0,1799.0,386.0
oppo+findx,oppo平实专卖店,2572.0,2499.0,387.0
oppo+r17,oppo欧曙专卖店,2565.0,2999.0,388.0
荣耀+9x,wezebaba,2552.0,897.0,389.0
华为+p30,同迅数码专营店,2547.0,2499.0,390.0
oppo+r17,三际数码官方旗舰店,2532.0,1799.0,391.0
荣耀+8x,荣耀官方旗舰店,2531.0,999.0,392.0
华为+畅享9plus,久汇数码专营店,2526.0,459.0,393.5
红米+k20pro,绝对诚信qq464547963,2513.0,1288.0,395.0
华为+畅享9plus,诚亨通讯,2505.0,678.99,396.0
apple+iphonex,tao88108813,2502.0,3550.0,397.0
魅族+16,绝对诚信qq464547963,2501.0,849.0,398.0
oppo+a9,oppo普天精诚专卖店,2490.0,699.0,399.0
美图+t9,亿科美数码专营店,2485.0,999.0,400.0
oppo+findx,聚宝康数码专营店,2484.0,2499.0,401.0
尼凯恩+en3,尼凯恩旗舰店,2482.0,69.0,402.0
荣耀+v20,蓝港数码专营店,2474.0,1759.0,403.0
vivo+iqoo,vivo航鹰专卖店,2457.0,3498.0,404.0
红米+note8,热图数码专营店,2451.0,2099.0,405.0
荣耀+v30,wezebaba,2443.0,1657.0,406.0
一加+6t,港柏数码,2442.0,1424.61,407.0
华为+畅享9plus,中国移动官方旗舰店,2435.0,868.0,408.0
华为+p30,创汇通达数码旗舰店,2429.0,3388.0,409.0
apple+iphonexr,中国移动官方旗舰店,2428.0,4468.0,410.0
华为+p30,深圳一航,2425.0,1867.0,411.0
华为+p30,华为莫问专卖店,2422.0,2699.0,412.0
华为+nova5pro,赛西湖,2414.0,1487.85,413.0
oppo+a9,三际数码官方旗舰店,2412.0,699.0,414.0
oppo+r17,oppo欧曙专卖店,2409.0,1799.0,415.0
华为+p30,春江哥,2405.0,1833.48,416.0
apple+iphonexr,三际数码官方旗舰店,2388.0,4498.0,417.0
红米+note7pro,品牌机批发店,2388.0,828.99,418.0
荣耀+v20,三际数码官方旗舰店,2360.0,2699.0,419.0
荣耀+20pro,苏宁易购官方旗舰店,2357.0,2699.0,420.0
一加+7,69铺小a,2348.0,2149.0,421.0
oppo+r17pro,oppo平实专卖店,2341.0,2999.0,422.0
小米+mix3,绝对诚信qq464547963,2339.0,1688.0,423.0
华为+mate30pro,苏宁易购官方旗舰店,2335.0,6399.0,425.0
荣耀+8x,和来达数码专营店,2335.0,878.0,424.0
华为+畅享8,久汇数码专营店,2332.0,459.0,426.0
apple+iphonexsmax,子轩_果果,2329.0,3280.0,427.0
纽曼+m560,纽曼深圳专卖店,2328.0,99.0,428.0
