title,price,store,sells,location,commentcount
"""【1.6至高立省300】realme 真我X2四摄骁龙730G 30W闪充屏下指纹 NFC全网通realmeX2学生老人手机""",1399.0,"""苏宁易购官方旗舰店""",630人收货,江苏 南京,2597.0
"""【1199起限量抢】红米note8pro 6400万四摄全面屏智能学生小米官方旗舰正品手机 k30 红米note7 红米note8""",1299.0,"""苏宁易购官方旗舰店""",4168人收货,江苏 南京,6705.0
"""【128GB享24期免息】华为旗下HONOR/荣耀20青春版AMOLED屏幕指纹手机官方旗舰店新品9全新X正品20""",1699.0,"""荣耀官方旗舰店""",586人收货,广东 深圳,1286.0
"""【1月6日 24期免息 抢礼盒】华为旗下HONOR/荣耀V30双模5G麒麟990旗舰芯片突破性相机矩阵PRO拍照手机官方店""",3299.0,"""荣耀官方旗舰店""",6500+人收货,广东 深圳,4275.0
"""【1月6日低至1199起】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1299.0,"""小米官方旗舰店""",1.0万+人收货,北京,42556.0
"""【200优惠券+送好礼】Huawei/华为 nova 5 Pro新款手机官方旗舰店降价5g全网通mate30官网prop30正品5i荣耀6""",2599.0,"""蓝港数码专营店""",993人收货,广东 深圳,3475.0
"""【200优惠券+送好礼】Huawei/华为 nova 5 Pro新款手机官方旗舰店降价5g全网通mate30官网prop30正品5i荣耀6""",2699.0,"""蓝港数码专营店""",995人收货,广东 深圳,3464.0
"""【24期免息 赠蓝牙音箱】OPPO Reno2 Z全面屏正品官方旗舰新品全网通4800万超清拍照智能手机R15 R17""",2299.0,"""oppo官方旗舰店""",1039人收货,广东 东莞,731.0
"""【24期免息 赠蓝牙音箱】OPPO Reno2 Z全面屏正品官方旗舰新品全网通4800万超清拍照智能手机R15 R17""",2299.0,"""oppo官方旗舰店""",1121人收货,广东 东莞,760.0
"""【24期免息+1年碎屏险】OPPO Reno opporeno手机旗舰oppo新款上市opporeno2 10倍变焦oppor17 未来findx手机""",2499.0,"""oppo熊鑫专卖店""",780人收货,上海,2963.0
"""【24期免息】Apple/苹果 iPhone 11 Pro MAX 2019新品 全网通手机 苹果11promax 拍照智能手机""",9599.0,"""绿森数码官方旗舰店""",648人收货,浙江 杭州,396.0
"""【24期免息】华为HONOR/荣耀V30双模5G麒麟990苏宁易购官方旗舰店全新正品华为v30手机双模5g""",3299.0,"""苏宁易购官方旗舰店""",845人收货,江苏 南京,390.0
"""【24期免息赠蓝牙音箱】OPPO Reno2全面屏4800万变焦四摄超清拍照视频防抖智能手机官方旗舰店opporeno2 r17""",2999.0,"""oppo官方旗舰店""",1141人收货,广东 东莞,6549.0
"""【3+32G低至599】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.0,"""小米官方旗舰店""",688人收货,北京,986.0
"""【4+64G低至699】红米8A 新品大电量大屏幕智能游戏学生老年人小米官方旗舰店正品手机红米8a 7a""",599.0,"""苏宁易购官方旗舰店""",3274人收货,江苏 南京,4301.0
"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",49.0,"""誉品旗舰店""",6500+人收货,广东 深圳,23591.0
"""【4G全网通】中兴守护宝L105老人机超长待机直板女款大屏大字大声音移动电信版中老年手机正品学生按键小手机""",69.0,"""嘉宇金成数码专营店""",3644人收货,广东 深圳,11442.0
"""【4G全网通】关爱心G3正品老人机超长待机老年手机大屏大字大声音移动联通电信版直板女款诺基亚功能按键手机""",59.0,"""关爱心旭光明专卖店""",2979人收货,广东 深圳,1610.0
"""【4G全网通】创星S1C老年手机超长待机大屏大字大声音移动联通电信版正品直板按键军工三防学生女款老人机""",168.0,"""炜广天成数码专营店""",655人收货,广东 深圳,1847.0
"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.0,"""炜广天成数码专营店""",5500+人收货,广东 深圳,116746.0
"""【4G全网通】创星S9老人机超长待机直板女款大屏大字大声音移动电信版老年手机正品联通学生诺基亚按键小手机""",88.0,"""优机汇数码专营店""",597人收货,广东 深圳,354.0
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.0,"""尼凯恩旗舰店""",2.5万+人收货,广东 深圳,437841.0
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.0,"""创于佳讯数码专营店""",3.5万+人收货,广东 深圳,413536.0
"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.0,"""纽曼深圳专卖店""",9500+人收货,广东 深圳,134966.0
"""【4G全网通】纽曼S9老人机超长待机军工三防正品移动联通电信版老年手机大屏大字大声按键学生款诺基亚智能机""",128.0,"""纽曼幸福专卖店""",914人收货,广东 深圳,3591.0
