title,type,Unnamed: 0,sells,price
华为+畅享9,4+64G 移动全网通,486.0,2382,848.5
荣耀+20i,全网通(4GB+128GB),487.0,2368,1299.0
荣耀+10,全网通(6+128G),488.0,2355,1198.0
荣耀+10,4G+64G全网通咨询赠一年影视会员观影权益,489.0,2352,872.1
apple+iphonexr,64GB美版有锁激活移动电信,490.0,2352,3588.0
apple+iphone11promax,全网通 64GB,1315.25,2343,9085.88
apple+iphone7,32G,2184.88,2335,1737.24
华为+mate30,4G全网通版(8G+128G)【无线充+AI音箱】,492.0,2331,4633.0
华为+nova5pro,8+128G 全网通,494.0,2317,2499.0
华为+mate30pro,8+256GB全网通,501.0,2263,6999.0
vivo+iqoo,12G+128G,2228.5,2228,3268.5
apple+iphonexsmax,64G 全网通,2196.6,2216,4698.6
华为+畅享9,3GB+64GB全网通,506.0,2214,734.0
apple+iphone8plus,64G全网通,1704.57,2211,2737.54
三星+galaxys10+,12GB+1TB,2417.5,2196,8676.83
荣耀+v20,全网通8GB+128GB,511.0,2179,1938.0
荣耀+20i,4+128G 全网通,513.0,2156,1299.0
华为+nova4,全网通（6+128G）,1084.5,2152,1259.5
华为+mate30pro,全网通(8G+128G)(4G版),515.0,2150,5799.0
华为+畅享9,4G+128G 全网通,793.0,2143,970.66
华为+畅享9,4GB+128GB,1946.75,2136,1003.54
华为+nova5,8GB+128GB(直降500）,517.0,2117,2065.67
华为+p30,8GB+128GB 全网通,1334.75,2112,3487.48
apple+iphonexr,全网通 64G,1424.0,2100,4455.89
华为+畅享9,全网通(3G RAM + 32G ROM),518.0,2099,899.0
荣耀+10,全网通(6G+64G),1859.33,2081,1232.33
华为+畅享9,全网通(4G+64G),895.5,2076,868.62
apple+iphonexr,全网通 128G,1345.33,2070,4852.72
华为+畅享9plus,4G+128G 全网通公开版,521.0,2064,1069.0
荣耀+9x,全网通(6+128G),937.0,2059,1799.0
荣耀+8x,6GB+128GB 尊享版,522.0,2055,1299.0
荣耀+8x,6+128G 全网通,523.0,2045,1439.0
apple+iphone11,全网通256G,2231.11,2038,8084.32
apple+iphonexsmax,64G全网通,2666.0,2024,4885.0
华为+mate20pro,全网通(6G+128G),786.0,2009,3999.0
红米+k20pro,全网通(8G+512G),527.0,2002,2518.0
中兴+bladev10,4GB+128GB,528.0,2001,949.0
荣耀+20pro,8G+128G全网通咨询赠一年影视会员观影权益,530.0,1994,2349.0
华为+nova4,6GB+128GB,1711.5,1966,1167.83
oppo+k3,超值套餐,532.0,1958,1814.79
华为+畅享9plus,(6G RAM+128G ROM),534.0,1952,1264.0
apple+iphonex,全网通 64G,1214.0,1951,4421.56
oppo+renoz,超值套装,1205.33,1934,2293.44
apple+iphonexs,全网通 256GB,538.0,1927,6258.0
小米+mix3,6GB+128GB,956.0,1926,2405.66
小米+小米8,全网通6GB+128GB,542.0,1911,1923.0
apple+iphonexr,128G 全网通,2630.38,1906,3806.68
红米+7a,全网通 2G+16G,1513.0,1906,471.5
vivo+iqoo,12GB  256GB,543.0,1903,3598.0
apple+iphone8,64G,1330.25,1890,2558.36
