,title,store,type,sells,price
138,['【二手9成新】 苹果6s Plus二手苹果 iPhone6s Plus 二手'],['发动机优品二手手机专营店'],64G 全网通,2368,1232.5
139,['【二手9成新】苹果6 plus Apple iPhone6 Plus（6s plus前代）二手'],['闪搜二手手机专营店'],64G 全网通,2291,1059.0
140,['【二手9成新】vivo X21 '],['闲至优品二手手机旗舰店'],6GB+128GB,2271,1049.0
141,['【二手9成新】Apple iPhone 6s Plus苹果6s plus 二手'],['泰业优品二手手机旗舰店'],64G 全网通,2253,1210.5
142,['【二手9成新】Apple苹果6s iPhone6S 二手'],['马顺二手商品专营店'],16G 全网通,2228,714.0
143,['【二手9成新】三星 Galaxy S8（SM-G9500）二手三星S8'],['智达二手手机专营店'],4G+64G 全网通4G,2226,1376.67
144,['酷派（Coolpad） 酷玩7 刘海全面屏 高清双摄 4GB+64GB 星空黑  移动联通电信4G'],['酷派京东自营旗舰店'],全网通（4GB 32GB）,2221,799.0
145,['飞利浦（PHILIPS） E331K 炫酷红 直板 按键 老年'],['飞利浦手机京东自营旗舰店'],标准版,2213,199.0
146,['【二手9成新】Apple iPhone 6s 苹果6s 二手'],['马上优品二手商品旗舰店'],16G 全网通,2189,727.0
147,['【二手9成新】Apple iphone 6 苹果6 二手'],['马上优品二手商品旗舰店'],16G 全网通,2180,636.0
148,['【二手9成新】苹果8 Plus'],['翱行二手商品专营店'],64G 全网通,2131,2523.25
149,['【二手9成新】小米（MI）小米6 '],['闲至优品二手手机旗舰店'],6GB+64GB,2114,939.0
150,['联想K5 Note 4GB+64GB 旭日金 6英寸全面屏双摄 3760mAh大电池 全网通4G'],['联想手机京东自营官方旗舰店'],3GB+32GB,2109,499.0
151,['华为（HUAWEI） 荣耀10青春版   原装正品 '],['京铠玄手机旗舰店'],6+128G 全网通,2059,1299.0
152,['【二手9成新】OPPO A37 二手'],['唯尔优品二手商品专营店'],2G+16G全网通,2012,278.0
153,['小米红米8 '],['佳沪手机旗舰店'],全网通4G+64G,2002,740.0
154,['【二手95新】华为 HUAWEI P20 '],['闲至优品二手手机旗舰店'],6GB+64GB,1981,1399.0
155,['努比亚 nubia Z20 钻石黑 8GB+128GB 4800万三摄 超清双屏自拍 全网通 移动联通电信4G'],['努比亚京东自营旗舰店'],6GB+128GB,1921,2499.0
156,['华为 HUAWEI 畅享 10S 炫彩OLED屏幕指纹4800万超广角AI三摄4000mAh大电池6GB+64GB天空之境全网通双4G'],['华为京东自营官方旗舰店'],6GB+128GB,1871,1799.0
157,['新款4G+64G大内存 6.1英寸水滴大屏 小辣椒9e安卓智能'],['广中达官方旗舰店'],6G+64G,1859,699.0
158,['荣耀畅玩8C 华为'],['佳沪手机旗舰店'],全网通4G+64G,1858,839.6
159,['华为（HUAWEI）荣耀20i 全网通版移动联通4G 超广角三摄全面屏AI智能'],['众盛手机专营店'],(6G RAM+64G ROM),1858,1002.67
160,['【二手9成新】【现货秒发】vivo Y83 面部识别 刘海屏 安卓'],['悦粤二手商品专营店'],4+64,1835,588.0
161,['华为畅享MAX'],['伟德手机专营店'],4GB+128GB,1810,1164.33
162,['【二手9成新】 Apple iPhone6s 苹果6s 二手'],['发动机优品二手手机专营店'],64G 全网通,1778,900.5
163,['【二手9成新】Apple iPhone 4s 苹果4s 二手'],['马上优品二手商品旗舰店'],16G  联通3G移动2G 6.13系统,1777,248.0
164,['华为P20 Pro '],['福气多多手机旗舰店'],全网通6G+128G【碎屏险套餐】,1769,4588.0
165,['荣耀Play3 华为智能畅玩老人学生'],['佳沪手机旗舰店'],全网通4G+64G【碎屏险装】,1749,799.0
166,['【二手9成新】Apple iPhone6s Plus 苹果6s Plus 二手'],['经典二手商品专营店'],16G 全网通,1744,983.25
167,['海信(Hisense)  阅读'],['海信手机京东自营旗舰店'],4GB+64GB,1744,1499.0
168,['【二手8成新】Apple iPhone 6 苹果6二手 苹果'],['同城帮二手商品专营店'],16GB 全网通4G,1733,568.0
169,['【二手9成新】Apple iPhone6 二手苹果6 二手'],['泰业优品二手手机旗舰店'],64G 全网通,1708,814.67
170,['【二手9成新】Apple iPhone6 Plus 苹果6plus二手'],['泰业优品二手手机旗舰店'],16G 全网通,1695,799.0
171,['【二手9成新】Apple iPhone 6s Plus 苹果6sPlus二手'],['丰泽优品二手商品专营店'],64G 全网通,1682,1170.5
172,['【二手95新】vivo X23 '],['闲至优品二手手机旗舰店'],128G,1676,1361.11
173,['【二手9成新】【白条6期免息】OPPO R11s 安卓'],['唯尔优品二手商品专营店'],4G+64G 全网通,1663,720.0
174,['OPPO A11x'],['OPPO手机乐良专卖店'],全网通,1661,1571.73
175,['【二手9成新】苹果6'],['闪搜二手手机专营店'],64G 全网通,1652,925.0
176,['华为（HUAWEI）  荣耀畅玩8A（7天价保） 全网通4G 智能老人'],['普华手机专营店'],（3G+32G）送手机壳膜,1621,621.5
177,['华为（HUAWEI） 荣耀10青春版 全网通智能'],['OKSJ手机旗舰店'],6+128G,1581,1299.0
178,['【二手9成新】vivo Y67 安卓'],['唯尔优品二手商品专营店'],4GB+32GB 全网通,1580,401.33
179,['小辣椒 R17 全面屏迷你智能'],['金诚腾达手机专营店'],旗舰版（3GB+32GB）,1567,596.5
180,['新款4G+64G大内存 6.1英寸水滴大屏 小辣椒9e安卓智能'],['广中达官方旗舰店'],6G+128G,1563,799.0
181,['【二手9成新】华为'],['腾龙二手商品专营店'],4+32G 全网通,1529,561.41
182,['【二手9成新】苹果se'],['闪搜二手手机专营店'],16G 全网通,1520,673.25
183,['华为（HUAWEI）荣耀畅玩8C 全网通4G移动联通电信4G 双卡双待 全面屏智能游戏老人老年'],['伟德手机专营店'],4GB+32GB,1513,762.4
184,['【二手95新】Huawei/华为 P20 Pro '],['闲至优品二手手机旗舰店'],6GB+64GB,1511,1672.33
185,['【二手9成新】乐视'],['信谊二手商品专营店'],X620 3+32G 全网通,1500,339.0
