title,store,Unnamed: 0,sells,price
华为+mate30,['炜东电商旗舰店'],1847.62,2737,4699.0
apple+iphone8plus,['发动机优品二手手机专营店'],2588.5,2692,3193.85
小米+mix3,['聚捷联盛手机旗舰店'],1648.5,2685,3443.38
apple+iphonex,['世讯通二手手机专营店'],687.5,2666,3499.0
华为+p30,['京联通达旗舰店'],1567.67,2660,3754.67
apple+iphone7,['拍拍二手自营旗舰店'],2077.45,2656,2020.51
apple+iphone11,['京联通达旗舰店'],1429.67,2653,5965.67
oppo+a5,['唯尔优品二手商品专营店'],1584.5,2652,395.0
apple+iphone11,['壹思海外专营店'],3000.08,2640,5631.07
华为+mate30pro,['臻火旗舰店'],1466.33,2618,7099.0
华为+畅享9plus,['新松联手机旗舰店'],1013.33,2618,1121.33
apple+iphone11promax,['同达丰手机旗舰店'],1472.0,2601,10810.5
oppo+renoz,['OPPO酷炫手机专卖店'],800.0,2600,2249.0
红米+k20,['疆界互联旗舰店'],1313.33,2575,1646.33
华为+nova4,['同达丰手机旗舰店'],1932.5,2570,1135.66
华为+nova5pro,['京铠玄手机旗舰店'],1044.0,2555,2699.0
荣耀+9x,['京铠玄手机旗舰店'],1580.75,2553,1505.88
华为+畅享9,['掌视界数码旗舰店'],990.0,2549,886.5
vivo+u3x,['vivo耀诚鑫专卖店'],1367.5,2546,949.0
apple+iphonex,['扬帆二手商品专营店'],2542.17,2543,3555.38
oppo+k5,['东呵东手机专营店'],2723.29,2537,2070.43
apple+iphone7,['闪回二手商品专营店'],1404.67,2524,1876.78
华为+畅享9,['千瑞达手机旗舰店'],2152.57,2520,927.84
apple+iphone11promax,['疆界互联旗舰店'],2634.78,2502,10842.0
荣耀+20pro,['疆界互联旗舰店'],1961.0,2500,2592.33
华为+畅享9plus,['同达丰手机旗舰店'],883.0,2477,1132.34
vivo+z5x,['vivo官方旗舰店'],703.5,2467,1448.0
apple+iphonexs,['发动机优品二手手机专营店'],2639.4,2455,4920.57
魅族+16x,['谷高数码手机专营店'],707.5,2450,1182.3
荣耀+20,['天翼电信旗舰店'],761.0,2420,2421.5
apple+iphonex,['岗隆手机专营店'],2011.17,2412,6955.67
华为+畅享9,['伟德手机专营店'],2307.0,2409,803.75
apple+iphone11promax,['明日数码旗舰店'],2727.8,2396,10667.75
华为+nova5pro,['京合旗舰店'],763.0,2377,2704.83
apple+iphonexr,['XINKE海外专营店'],1923.0,2367,3638.0
oppo+renoz,['OPPO墨白专卖店'],717.0,2360,2240.66
apple+iphonexr,['茄子手机旗舰店'],1732.0,2354,4949.67
华为+mate20x,['疆界互联旗舰店'],1737.6,2352,6885.67
荣耀+10,['聚捷联盛手机旗舰店'],1425.2,2351,1350.15
荣耀+20i,['千瑞达手机旗舰店'],1714.5,2316,1307.33
华为+nova5pro,['聚捷联盛手机旗舰店'],1452.25,2303,2708.5
一加+7,['疆界互联旗舰店'],2896.05,2292,4091.86
oppo+renoz,['OPPO官方直营旗舰店'],1505.0,2268,2238.67
荣耀+magic2,['牧申手机旗舰店'],1753.5,2268,2125.66
红米+8a,['明日数码旗舰店'],1516.0,2266,671.5
小米+小米8,['众盛手机专营店'],989.67,2261,1186.22
apple+iphonexr,['新松联手机旗舰店'],817.0,2257,4626.33
荣耀+20i,['新松联手机旗舰店'],1422.0,2252,1242.17
荣耀+20pro,['OKSJ手机旗舰店'],757.0,2250,2811.5
荣耀+20pro,['天翼电信旗舰店'],753.5,2243,2745.67
黑鲨+,['疆界互联旗舰店'],2392.71,2237,3016.94
小米+mix2s,['闲至优品二手手机旗舰店'],1184.67,2222,1375.67
apple+iphone7,['丰泽优品二手商品专营店'],1956.0,2216,2204.11
vivo+z5x,['vivo耀诚鑫专卖店'],1334.25,2213,1462.29
oppo+a5,['OPPO盈毅手机专卖店'],1972.5,2210,982.33
apple+iphone7,['新松联手机旗舰店'],749.5,2185,3529.75
华为+畅享10plus,['千瑞达手机旗舰店'],1189.33,2162,1663.17
努比亚+红魔,['茄子手机旗舰店'],2268.83,2144,2366.22
apple+iphone11,['XINKE海外专营店'],3029.25,2138,6163.25
华为+mate30pro,['新松联手机旗舰店'],1869.8,2135,6658.5
apple+iphonex,['疆界互联旗舰店'],954.0,2119,6384.63
华为+nova4,['聚捷联盛手机旗舰店'],1137.5,2116,1213.66
华为+畅享9,['聚捷联盛手机旗舰店'],1176.33,2113,922.33
华为+畅享9,['明日数码旗舰店'],1799.14,2111,836.46
红米+k20pro,['佳沪手机旗舰店'],1525.25,2106,2356.75
华为+nova5pro,['同达丰手机旗舰店'],1647.67,2095,2699.0
oppo+k5,['牧申手机旗舰店'],1253.0,2079,2099.0
华为+mate20,['牧申手机旗舰店'],1920.75,2070,2860.81
apple+iphonexsmax,['弘朝二手商品专营店'],3298.6,2048,5782.6
apple+iphone11,['联通华盛手机旗舰店'],2038.0,2045,5862.0
红米+7,['淘金手机专营店'],1969.5,2045,841.33
华为+mate30pro,['炜东电商旗舰店'],1684.75,2043,6814.0
魅族+16,['谷高数码手机专营店'],2144.71,2016,2475.49
华为+畅享10plus,['优品美手机专营店'],1349.0,1989,1665.67
vivo+s1pro,['vivo官方旗舰店'],1150.67,1988,1998.0
华为+mate20,['聚捷联盛手机旗舰店'],1229.5,1934,2491.0
魅族+16,['淘金手机专营店'],1421.33,1918,3064.25
华为+mate20,['闲至优品二手手机旗舰店'],811.0,1898,1934.0
apple+iphone7,['海星优品二手手机专营店'],2775.3,1896,1610.5
华为+mate20pro,['闲至优品二手手机旗舰店'],2874.75,1878,6220.19
红米+note8,['新松联手机旗舰店'],1526.17,1874,1220.28
荣耀+10,['闲至优品二手手机旗舰店'],819.5,1870,1279.0
华为+nova5,['炜东电商旗舰店'],1443.8,1867,1899.0
apple+iphone8,['扬帆二手商品专营店'],1895.5,1863,2360.44
红米+k20pro,['疆界互联旗舰店'],2182.0,1847,2463.94
华为+mate30,['佳沪手机旗舰店'],1863.83,1826,4882.33
华为+p30,['千瑞达手机旗舰店'],1641.0,1787,3705.6
红米+7,['众盛手机专营店'],2217.17,1784,993.46
oppo+r17pro,['OPPO官方直营旗舰店'],901.0,1768,3149.0
华为+p30,['久汇通官方旗舰店'],2887.29,1764,4310.86
apple+iphone8plus,['闪回二手商品专营店'],923.5,1751,2914.62
华为+nova5,['臻火旗舰店'],859.0,1748,1599.0
apple+iphone11promax,['新松联手机旗舰店'],1743.67,1746,10412.17
apple+iphonex,['零度二手商品专营店'],3440.56,1741,4461.03
华为+畅享9plus,['京铠玄手机旗舰店'],1499.67,1740,1142.0
华为+畅享9,['疆界互联旗舰店'],1653.67,1736,906.0
华为+nova6,['久汇通官方旗舰店'],3054.83,1727,3782.33
华为+p30,['众宇通手机专营店'],2321.73,1726,4456.18
华为+mate30pro,['同达丰手机旗舰店'],2259.71,1725,7001.0
apple+iphone11,['鹏瑶旗舰店'],2226.5,1711,5723.75
小米+小米8,['闪回二手商品专营店'],1460.5,1677,1436.75
华为+mate20pro,['千瑞达手机旗舰店'],1094.67,1660,4821.22
华为+nova4,['众盛手机专营店'],1105.0,1655,1299.0
华为+nova4,['佳沪手机旗舰店'],1545.5,1651,1151.84
apple+iphone8plus,['可多优品二手手机专营店'],2289.0,1646,2923.95
华为+畅享9plus,['欧霖爵手机旗舰店'],2254.0,1641,1249.0
荣耀+v30,['新松联手机旗舰店'],3278.91,1638,3901.5
小米+小米9,['淘金手机专营店'],1560.25,1638,2699.75
魅族+x8,['淘金手机专营店'],1127.33,1624,1124.67
小米+cc9,['炜东电商旗舰店'],1502.33,1619,2218.83
华为+nova5,['佳沪手机旗舰店'],2182.43,1608,1970.43
红米+note8,['茄子手机旗舰店'],1476.5,1561,1407.17
apple+iphone7,['焕新二手商品专营店'],2687.25,1559,1588.04
华为+nova5,['严集手机旗舰店'],2125.6,1558,2019.0
华为+畅享9,['牧申手机旗舰店'],1377.33,1557,888.75
apple+iphone7,['弘朝二手商品专营店'],3033.0,1552,1728.85
红米+note8,['淘金手机专营店'],1860.43,1550,1282.76
红米+7,['华信通手机专营店'],1291.0,1536,732.0
华为+mate20,['众宇通手机专营店'],1567.33,1523,2999.0
荣耀+v30,['佳沪手机旗舰店'],1579.25,1518,3774.0
华为+p30,['发动机优品二手手机专营店'],3217.95,1502,3270.12
小米+小米9,['谷高数码手机专营店'],2149.12,1497,2891.58
apple+iphone8,['泰业优品二手手机旗舰店'],2273.25,1483,2609.19
