,title,store,type,sells,price
266,红米+7a,['佳沪手机旗舰店'],全网通 2G+32G,8598,515.0
267,apple+iphone7,['扬帆二手商品专营店'],128G,8519,1836.5
268,华为+nova4,['掌视界数码旗舰店'],全网通(6G+128G),8410,1248.67
269,vivo+z3,['vivo官方旗舰店'],6GB  128GB,8314,1598.0
270,apple+iphone7,['马上优品二手商品旗舰店'],128G 全网通,8062,1824.33
271,vivo+z5,['vivo官方旗舰店'],6GB 128GB,8005,1498.0
272,荣耀+8x,['OKSJ手机旗舰店'],4G+64G,8000,924.6
273,联想+z5pro,['联想手机京东自营官方旗舰店'],6GB+128GB,7931,1349.0
274,红米+8a,['佳沪手机旗舰店'],全网通4G+64G,7920,692.67
275,apple+iphone11,['疆界互联旗舰店'],全网通64GB,7913,5138.17
276,华为+nova5,['京铠玄手机旗舰店'],8+128G 全网通,7880,1999.0
277,小米+cc9,['小米京东自营旗舰店'],4GB+128GB,7758,1199.0
278,联想+z5pro,['联想手机京东自营官方旗舰店'],6GB+64GB,7654,1228.0
279,vivo+iqoo,['vivo京东自营官方旗舰店'],8GB+64GB,7640,2098.0
280,小米+小米8,['疆界互联旗舰店'],6G+128G 全网通,7600,1832.33
281,荣耀+v20,['佳沪手机旗舰店'],全网通8G+128G,7538,1966.6
282,华为+p30,['掌视界数码旗舰店'],全网通(8G+128G),7533,4626.57
283,vivo+iqoo,['vivo京东自营官方旗舰店'],8GB+256GB,7465,3698.0
284,oppo+r17,['OPPO官方直营旗舰店'],全网通(8G RAM+128G ROM),7401,3270.43
285,vivo+u3x,['vivo官方旗舰店'],3GB 32GB,7139,789.0
286,apple+iphone11,['炜东电商旗舰店'],全网通64G,6937,5188.0
287,华为+nova4,['炜东电商旗舰店'],6G+128G全网通,6937,1178.0
288,真我+x,['realme真我京东自营旗舰店'],8GB+256GB,6844,1599.0
289,oppo+k3,['OPPO京东自营官方旗舰店'],8GB+256GB,6805,2226.14
290,小米+小米8,['掌视界数码旗舰店'],全网通(6G+128G),6786,1393.0
291,华为+nova5pro,['掌视界数码旗舰店'],全网通(8G+128G),6734,2497.0
292,红米+7,['佳沪手机旗舰店'],全网通 4G+64G,6666,769.0
293,联想+z5,['联想手机京东自营官方旗舰店'],6GB+128GB,6656,1097.0
294,华为+p30,['华为京东自营官方旗舰店'],限量套装版,6643,6008.0
295,vivo+z5,['vivo官方旗舰店'],6GB 256GB,6580,1648.0
296,apple+iphone7,['佳沪手机旗舰店'],全网通 128GB,6530,3423.0
297,apple+iphonex,['瓜子二手商品专营店'],64G 全网通,6466,3123.5
298,华为+mate20,['炜东电商旗舰店'],全网通(6G+64G) （皮套套餐）,6289,2699.0
299,oppo+reno,['OPPO京东自营官方旗舰店'],12GB+256GB,6268,3799.0
300,荣耀+20,['荣耀京东自营旗舰店'],全网通（6GB 128GB）,6153,1699.0
301,oppo+k5,['OPPO官方直营旗舰店'],官方标配,6072,2070.43
302,华为+nova6,['华为京东自营官方旗舰店'],4G全网通,6048,3199.0
303,努比亚+红魔3,['努比亚京东自营旗舰店'],6GB+128GB,6023,2312.0
304,apple+iphone8plus,['疆界互联旗舰店'],全网通64GB,5970,4128.0
305,华为+畅享9,['佳沪手机旗舰店'],全网通4GB+64GB,5938,818.0
306,中兴+bladev10,['中兴京东自营官方旗舰店'],4GB+64GB,5868,809.0
307,小米+小米9,['疆界互联旗舰店'],8G+128G 全网通,5809,2985.0
308,oppo+reno,['OPPO京东自营官方旗舰店'],6GB+256GB,5769,2553.44
309,小米+cc9,['小米京东自营旗舰店'],6GB+128GB,5756,2599.0
310,apple+iphone11,['聚捷联盛手机旗舰店'],64GB,5715,5172.0
311,荣耀+10,['牧申手机旗舰店'],4G+64G,5687,887.0
312,小米+cc9,['小米京东自营旗舰店'],8GB+256GB,5640,3199.0
313,红米+8a,['小米京东自营旗舰店'],3GB+32GB,5600,599.0
314,华为+畅享9plus,['聚捷联盛手机旗舰店'],移动全网通(4+128G),5591,1034.0
315,荣耀+10,['荣耀京东自营旗舰店'],全网通（4GB 128GB）,5581,1299.0
316,华为+nova4,['福气多多手机旗舰店'],全网通（6GB+128GB）,5549,1599.0
317,荣耀+10,['疆界互联旗舰店'],6G+128GB全网通,5544,1807.0
318,apple+iphonexs,['Apple产品京东自营旗舰店'],512GB,5489,7621.67
319,中兴+bladea7,['中兴京东自营官方旗舰店'],3GB+64GB,5485,649.0
320,vivo+u1,['vivo官方旗舰店'],4GB 64GB,5461,1299.0
321,华为+畅享9,['众盛手机专营店'],(4G RAM+64G ROM),5405,839.0
322,apple+iphone7,['经典二手商品专营店'],128G 全网通,5343,1360.33
323,小米+小米9se,['疆界互联旗舰店'],6G+128G 全网通,5319,1901.0
324,飞利浦+e106,['飞利浦手机京东自营旗舰店'],E109,5260,99.0
325,apple+iphone7,['发动机优品二手手机专营店'],128G 国行 全网通,5205,1421.33
326,vivo+z5,['vivo官方旗舰店'],6GB 64GB,5192,1348.0
327,三星+galaxynote10,['三星手机京东自营官方旗舰店'],标准版,5157,6599.0
328,apple+iphone11,['疆界互联旗舰店'],全网通128GB,5156,5668.17
329,三星+galaxya60,['三星手机京东自营官方旗舰店'],6GB+128GB,5129,1999.0
330,apple+iphone8plus,['佳沪手机旗舰店'],全网通 128GB,5124,5599.0
331,oppo+reno,['OPPO酷炫手机专卖店'],官方标配,5099,2749.0
332,荣耀+8x,['疆界互联旗舰店'],6G+128G(全网通),5094,1373.0
333,apple+iphone11,['新松联手机旗舰店'],全网通64G,5081,5136.33
334,华为+p30,['福气多多手机旗舰店'],全网通8G+256G【 华为官方直供】,5072,4988.0
335,apple+iphone11,['咪咕旗舰店'],64G,5039,5232.33
